,CSEM 100-G17/ On Being Human,CSEM 100-G06/ Eye. Spy. The Art of Observation,CSEM 100-G12/ Music and Sound Technology,CSEM 100-G08/ Fact or Fiction: Using Science to Tackle Popular Myths,CSEM 100-G04/ Why Do We Eat That?,CSEM 100-G13/ Physics for Future Presidents,CSEM 100-G18/ Community Service,CSEM 100-G01/ Global Peacebuilding and Leadership,CSEM 100-G03/ Citizenship and Borders,CSEM 100-G20/ Community Service,CSEM 100-G14/ American Inequality,CSEM 100-G16/ Hashtagging the Revolution: Social Media and Political Participation in the Digital Age,CSEM 100-G02/ Eataly: Food in Italian Culture,CSEM 100-G07/ Art and the Body,CSEM 100-G09/ Science in Fiction (But NOT Science Fiction),CSEM 100-G19/ Community Service,CSEM 100-G11/ Mathematics: The Language of the Universe,CSEM 100-G10/ The Meaning of Life in Ancient Thought,CSEM 100-G05/ Forensic Anthropology Examined,CSEM 100-G15/ Politics of Popular Culture
,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
2616,3,0,4,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2619,5,4,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
2621,3,5,1,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
2626,5,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2627,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
2628,5,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,1,0,3
2631,5,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
2632,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
2634,5,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4
2636,5,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0
2637,0,5,2,0,0,0,0,1,0,0,0,0,0,4,0,0,0,3,0,0
2638,1,0,2,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,5,0
2639,0,0,0,5,0,0,0,0,1,0,2,0,4,0,0,0,0,3,0,0
2643,0,5,2,1,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
2644,0,0,1,0,3,0,0,0,0,0,5,2,0,0,0,0,0,0,0,4
2645,5,0,1,0,0,0,0,2,3,0,0,0,0,4,0,0,0,0,0,0
2647,1,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,5,0,4
2648,3,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,1,0,2,0
2650,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,4,5,0,0
2651,5,0,4,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2
2653,3,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
2655,3,0,0,2,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,5
2657,4,2,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0
2658,4,2,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1
2660,4,0,0,0,0,0,0,2,0,0,3,1,0,0,0,0,0,5,0,0
2664,0,2,0,0,4,0,0,0,0,0,0,0,3,1,0,0,0,0,5,0
2665,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
2666,0,0,5,0,1,0,0,0,0,0,0,0,0,0,4,0,3,0,2,0
2671,5,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,4,3
2672,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,5,0
2673,0,4,5,0,0,0,2,0,0,1,0,0,3,0,0,0,0,0,0,0
2674,1,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,2
2676,0,0,3,0,5,0,0,0,0,0,0,0,1,4,0,0,0,2,0,0
2677,5,0,0,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0
