,CSEM 100-G17/ On Being Human,CSEM 100-G06/ Eye. Spy. The Art of Observation,CSEM 100-G12/ Music and Sound Technology,CSEM 100-G08/ Fact or Fiction: Using Science to Tackle Popular Myths,CSEM 100-G04/ Why Do We Eat That?,CSEM 100-G13/ Physics for Future Presidents,CSEM 100-G18/ Community Service,CSEM 100-G01/ Global Peacebuilding and Leadership,CSEM 100-G03/ Citizenship and Borders,CSEM 100-G20/ Community Service,CSEM 100-G14/ American Inequality,CSEM 100-G16/ Hashtagging the Revolution: Social Media and Political Participation in the Digital Age,CSEM 100-G02/ Eataly: Food in Italian Culture,CSEM 100-G07/ Art and the Body,CSEM 100-G09/ Science in Fiction (But NOT Science Fiction),CSEM 100-G19/ Community Service,CSEM 100-G11/ Mathematics: The Language of the Universe,CSEM 100-G10/ The Meaning of Life in Ancient Thought,CSEM 100-G05/ Forensic Anthropology Examined,CSEM 100-G15/ Politics of Popular Culture
,44, 20, 19, 33, 11, 0, 0, 0, 0, 1, 3, 5, 0, 5, 1, 0, 6, 13, 22, 11
2616,10,-1000,30,100,5,-1000,-1000,-1000,-1000,-1000,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000
2619,100,30,-1000,10,-1000,-1000,-1000,-1000,-1000,-1000,0,-1000,-1000,-1000,-1000,-1000,-1000,5,-1000,-1000
2621,10,100,0,5,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30,-1000,-1000,-1000,-1000,-1000,-1000
2626,100,0,-1000,30,5,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,10
2627,30,-1000,0,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,100,5
2628,100,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,-1000,-1000,-1000,30,-1000,-1000,0,-1000,10
2631,100,30,-1000,5,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,10
2632,5,10,-1000,30,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,100,-1000
2634,100,-1000,-1000,-1000,10,-1000,-1000,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,30
2636,100,-1000,-1000,30,-1000,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,10,-1000
2637,-1000,100,5,-1000,-1000,-1000,-1000,0,-1000,-1000,-1000,-1000,-1000,30,-1000,-1000,-1000,10,-1000,-1000
2638,0,-1000,5,-1000,-1000,-1000,-1000,-1000,10,-1000,-1000,30,-1000,-1000,-1000,-1000,-1000,-1000,100,-1000
2639,-1000,-1000,-1000,100,-1000,-1000,-1000,-1000,0,-1000,5,-1000,30,-1000,-1000,-1000,-1000,10,-1000,-1000
2643,-1000,100,5,0,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30,-1000,-1000,-1000,-1000,-1000,-1000
2644,-1000,-1000,0,-1000,10,-1000,-1000,-1000,-1000,-1000,100,5,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30
2645,100,-1000,0,-1000,-1000,-1000,-1000,5,10,-1000,-1000,-1000,-1000,30,-1000,-1000,-1000,-1000,-1000,-1000
2647,0,-1000,-1000,-1000,5,-1000,-1000,-1000,-1000,-1000,-1000,10,-1000,-1000,-1000,-1000,-1000,100,-1000,30
2648,10,-1000,-1000,-1000,100,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30,-1000,-1000,0,-1000,5,-1000
2650,10,-1000,0,-1000,-1000,5,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30,100,-1000,-1000
2651,100,-1000,30,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5
2653,10,-1000,30,5,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,100,-1000,-1000,-1000
2655,10,-1000,-1000,5,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30,-1000,-1000,0,-1000,-1000,-1000,-1000,100
2657,30,5,100,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,10,-1000,-1000,-1000,0,-1000,-1000
2658,30,5,-1000,-1000,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,100,-1000,-1000,-1000,-1000,-1000,0
2660,30,-1000,-1000,-1000,-1000,-1000,-1000,5,-1000,-1000,10,0,-1000,-1000,-1000,-1000,-1000,100,-1000,-1000
2664,-1000,5,-1000,-1000,30,-1000,-1000,-1000,-1000,-1000,-1000,-1000,10,0,-1000,-1000,-1000,-1000,100,-1000
2665,0,30,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,100,5
2666,-1000,-1000,100,-1000,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30,-1000,10,-1000,5,-1000
2671,100,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,-1000,-1000,5,-1000,-1000,-1000,-1000,-1000,-1000,30,10
2672,-1000,30,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,-1000,-1000,-1000,10,100,-1000
2673,-1000,30,100,-1000,-1000,-1000,5,-1000,-1000,0,-1000,-1000,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000
2674,0,-1000,-1000,30,-1000,-1000,-1000,-1000,-1000,-1000,10,-1000,-1000,-1000,-1000,-1000,-1000,100,-1000,5
2676,-1000,-1000,10,-1000,100,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,30,-1000,-1000,-1000,5,-1000,-1000
2677,100,-1000,-1000,0,30,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,-1000,-1000,-1000,-1000,10,-1000
2678,-1000,-1000,-1000,30,-1000,-1000,0,-1000,-1000,-1000,-1000,10,-1000,-1000,5,-1000,-1000,-1000,100,-1000
2679,-1000,100,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,10,-1000,-1000,-1000,30,-1000,-1000
2680,100,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,-1000,-1000,-1000,0,-1000,-1000,30,-1000,10
2682,30,-1000,-1000,100,10,-1000,-1000,-1000,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,-1000,-1000,-1000
2683,30,-1000,5,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,10,100,-1000,-1000,-1000,0,-1000,-1000
2685,-1000,100,0,30,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,10,-1000,-1000,-1000,-1000,5
2686,100,-1000,30,-1000,10,-1000,-1000,5,-1000,-1000,-1000,-1000,-1000,0,-1000,-1000,-1000,-1000,-1000,-1000
2695,-1000,-1000,-1000,100,5,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30,-1000,-1000,-1000,-1000,-1000,10,0
2697,30,100,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,-1000,5,-1000,-1000,-1000,10,-1000,-1000
2698,-1000,-1000,-1000,100,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,5,-1000,-1000,-1000,10,-1000,30,-1000
2700,100,10,0,-1000,30,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,-1000,-1000,-1000,-1000,-1000,-1000,-1000
2701,10,-1000,-1000,100,5,-1000,-1000,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30,-1000
2703,100,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,-1000,-1000,30,-1000,-1000,-1000,-1000,-1000,0
2706,-1000,-1000,-1000,100,-1000,-1000,-1000,-1000,-1000,0,-1000,-1000,10,-1000,-1000,5,30,-1000,-1000,-1000
2707,-1000,-1000,-1000,-1000,0,30,-1000,-1000,5,-1000,-1000,-1000,-1000,-1000,10,-1000,100,-1000,-1000,-1000
2710,-1000,-1000,-1000,-1000,5,-1000,-1000,-1000,-1000,-1000,10,30,-1000,-1000,-1000,-1000,-1000,-1000,0,100
2713,-1000,-1000,-1000,100,-1000,30,-1000,-1000,-1000,-1000,-1000,10,-1000,0,-1000,-1000,-1000,-1000,5,-1000
2714,5,100,-1000,30,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,10,-1000,-1000
2715,100,30,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,10
2717,10,-1000,-1000,-1000,-1000,5,-1000,0,-1000,-1000,-1000,-1000,30,-1000,-1000,-1000,-1000,100,-1000,-1000
2719,-1000,5,-1000,30,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,10,-1000,-1000,-1000,-1000,-1000,100,-1000
2720,5,-1000,-1000,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,10,-1000,-1000,100,-1000,-1000,30,-1000,-1000
2723,-1000,5,-1000,100,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30,-1000,10,-1000,-1000,-1000,-1000,-1000
2725,-1000,30,-1000,100,5,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,-1000,-1000,-1000,-1000,-1000,10,-1000
2726,-1000,-1000,-1000,100,0,-1000,10,-1000,-1000,5,-1000,-1000,-1000,-1000,-1000,30,-1000,-1000,-1000,-1000
2727,30,-1000,-1000,-1000,10,-1000,-1000,-1000,-1000,-1000,-1000,5,0,-1000,-1000,-1000,-1000,-1000,100,-1000
2728,-1000,30,-1000,5,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,10,-1000,0,-1000,-1000,-1000,100,-1000
2729,100,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,-1000,-1000,-1000,5,-1000,30,-1000,-1000,-1000
2731,-1000,-1000,-1000,30,-1000,-1000,-1000,5,-1000,-1000,-1000,-1000,10,0,-1000,-1000,-1000,-1000,100,-1000
2732,-1000,-1000,-1000,10,30,-1000,-1000,-1000,-1000,-1000,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,100,5
