,1f69efc6-b519-4fdd-a352-90f496828a54,22c6f251-ce02-4c5e-a52f-7e5f12746e8d,b73825cf-e3a2-4ac8-8241-1301485a6131,53acf269-44c8-4a2f-b9ef-d22a6339e1af,982eb748-1f36-462c-9acd-270ebcbb7d66,2d10bfe7-2f43-445b-99ad-5836d50f3ceb,91d1796b-cb96-4c2e-b185-5bcd2d250aa1,295dd7fb-c684-4d95-bdf0-708ccf6ce370,b28ae648-20ee-46d5-8f4a-64a8ce78941a,ea85f4a1-e7a5-43e9-86db-a9368889a26e,b01a504c-f7ac-430a-ad9c-24486ae4a54f,34b0e26b-6d34-48d8-a539-88f43db7c852,d02ea9be-8861-4cb3-8fa6-b9a036b7bae7,83a07eba-4360-42a2-a97b-de9caffc38ca,a2cdb7e5-3072-470c-af4f-1813a8e18755,915d48db-96f6-4de4-b9f4-2052a82905d1,78c940a0-7268-46fa-a818-1914559c4895,925715c8-0852-4224-b9d2-2a71913ce9cd,6e4dd23a-ca9e-4a81-aeae-2f84d9dfa92b,870d5c3f-809e-435e-9e4d-a7efb1f58b49,ff802353-d544-4b2e-af6d-1f26fa861ade,b63b32e1-6d3a-4678-874c-777201df2f36,107dcc2a-1d59-425f-aef7-5b2f745812fa,bc94acff-b289-4a9a-b1a4-5d7c84aa9be8,d38b3dfc-47a0-41f1-bd5a-641295e29c53,74df8c7f-1ff3-4641-953b-f2e93a515798,d0d80184-2992-469c-8d15-867951b0a11a,02013562-4bdd-4215-be11-d71224abedc4,a90693e5-3407-4e4f-9f8c-36e26d8402a3,af65ccee-08b7-4f3a-b2fc-3b92756672c8,736fafce-8d8b-4fd9-b5c9-9799aa896e75,a70c6762-0084-4095-a282-1266efa3d6e6,036060ea-785d-44bb-b288-07c3e17037d1,22e6df47-569c-4663-afe1-197d0f05631e,b69a7ed4-dfd1-4c03-86bf-fe2e4a69fb37,88b96041-53ac-4f7d-bbb0-d86c84d5d4b5,d26d3040-d5c8-4537-8dfe-353bb83d3f4a,99cfd235-2867-4293-9e70-55908dd3ea27,1d4e9cc2-55d4-4063-8ec4-ad538ba3b250,c50d5eec-4f4c-4732-bdf2-f2fb34797956,1a30b0c3-b14d-4004-b5b6-6af1c00e6fc4,ab3bc874-40d8-4e05-8e53-57f88bff4cb6,1dccbd38-e0fa-43cc-bb01-3d70e89a9faf,ead6f369-15cf-4fef-9ffb-91f918937371,a56df15e-8b94-4a2d-a2ab-236e95f25e4f,44f0c736-37eb-402a-89bf-1a7b3a157069,4c0555f9-878a-4a95-ba1d-598c625aabbd,36ab9374-6d63-4772-b483-855431e79c08,93133ba0-0f79-4ecb-a677-f8d0ed6841af,b069efcc-f812-46cc-aa49-c2193e718de7,a2d27640-31f8-44cb-8739-cc0e92b40760,ed779159-f4a7-4058-9189-ba254abbed47,bb6b898f-d31c-4bcd-a1f3-a03d3c3adb95,b8649a08-59a4-4377-b18b-d80804cbbdae,bda35145-8402-4a1e-b0e4-9c3df6520144,d1ce4853-7426-4975-af2c-83147fb1f8ba,e82c2f6a-7da4-4d22-9949-e655ee1d8188,4fd8e80a-21c6-4a61-9631-4b8240504b60,9ed54d5b-1b6e-4a82-9f3f-29fc073f0b38,01f821df-6507-4fc8-bbe5-1876db9e5776,1c7e72e1-0490-42d4-9cc6-fef87fa19b10,b828a367-390b-4727-88e5-bd8a9ce14fca,74babb3a-1706-44bd-9abf-c51ec21244b9,4fa9b71e-0ca2-4cb3-a829-c63d2d69b018,2b6c54d1-b109-42c7-b467-06458e32b47b,9bc33650-ff57-4d80-b90e-db5d197e482d,c64cbda8-d051-421e-ae35-b81a66d50959,9c898f57-62a1-440f-bc6a-335ee2deddbb,df6808d4-0875-4109-9230-11cb701a54e3,b4b6c1ca-8d7c-4f9d-bf6a-737fb70bb1e1,a37e6f8d-6a1e-4f9c-ace9-58aff7ae9ae2,3a239d84-7b89-4905-9d10-1f0b9fe352c7,c0715816-795a-431e-aeee-f10c42b035e7,cf06aa0c-f7c7-48d2-8852-e155a052a2e4,d4c83342-f2e3-4c28-8787-94b58042c805,84d09018-f8df-4ba2-8269-ae1fbc5fa536,8339bfe2-af36-4cf0-b704-d23b2d540f0c,d5635128-6a33-4016-a121-fc11db3ff502,79f7a531-5602-4e7b-ae70-cce2d872db96,b1972cd5-1bf6-4031-b687-85bd0089c082
acd6ed94-8bdb-4838-a733-a2efc14caab2,25, 18, 15, 23, 15, 3, 2, 5, 3, 1, 8, 7, 8, 11, 6, 2, 6, 17, 17, 13,25, 18, 15, 23, 15, 3, 2, 5, 3, 1, 8, 7, 8, 11, 6, 2, 6, 17, 17, 13,25, 18, 15, 23, 15, 3, 2, 5, 3, 1, 8, 7, 8, 11, 6, 2, 6, 17, 17, 13,25, 18, 15, 23, 15, 3, 2, 5, 3, 1, 8, 7, 8, 11, 6, 2, 6, 17, 17, 13
d5b43b38-ba8e-467d-b4e7-873c53181a19,3,0,4,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,4,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,4,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,4,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
d9e9365c-493a-4128-a0eb-d326eed826db,5,4,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,5,4,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,5,4,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,5,4,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
affe282b-fddf-4ca0-8c1e-83d5ca06d3f1,3,5,1,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,5,1,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,5,1,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,5,1,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
da3f1959-354e-4c11-a099-2ae1eba1ec85,5,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
08c1e69c-23e2-455e-971a-a1c81be7b60c,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
04b29e44-ff14-4237-804e-c3ae993498ab,5,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,1,0,3,5,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,1,0,3,5,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,1,0,3,5,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,1,0,3
43ea8a65-ad49-41ba-8458-029ffff7f0c7,5,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,5,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,5,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,5,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
f6964ea5-6a7c-46e0-9f26-5808329f3c48,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
9fd4a9af-cf44-4be4-a7f9-7187261e626f,5,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,5,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,5,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,5,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4
b79462e6-cd83-48b4-80aa-b189e7eb2e70,5,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0
