First Name:,Last Name:,Assigned Seminar,Which Drew Seminar course is your first choice?,Which Drew Seminar course is your second choice?,Which Drew Seminar course is your third choice?,Which Drew Seminar course is your fourth choice?,Which Drew Seminar course is your fifth choice?
,,"Forty Studies That Changed Psychology, Prof. Patrick Dolan","Forty Studies That Changed Psychology, Prof. Patrick Dolan","Music and Meaning, Prof. Treavor Weston","Are We Alone? Contact, Communication and Consequences of Extraterrestrial Life, Prof. Alan Rosan","Sacred Wisdom, Prof. Chris Taylor","Four Out of Five Drew Students Recommend this Seminar: Evaluating Survey Research, Prof. Sarah Abramowitz"
,,"Hogwarts, Houses, and Horcruxes: The Psychology of Harry Potter, Prof. Jill Cermele","Hogwarts, Houses, and Horcruxes: The Psychology of Harry Potter, Prof. Jill Cermele","Searching for Hamlet: On the Page, Stage, and Screen, Prof. Dan LaPenta","Are We Alone? Contact, Communication and Consequences of Extraterrestrial Life, Prof. Alan Rosan","Weapons of Math Destruction: Living with Algorithms, Prof. Minjoon Kouh","Film and the City, Prof. Muriel Placet-Kouassi"
,,"You Are What You Eat: U.S. Food Cultures, Prof. Angie Kirby-Calder","You Are What You Eat: U.S. Food Cultures, Prof. Angie Kirby-Calder","Hogwarts, Houses, and Horcruxes: The Psychology of Harry Potter, Prof. Jill Cermele","Film and the City, Prof. Muriel Placet-Kouassi","Latinos/as in Hollywood, Prof. Raul Rosales","American Inequality, Prof. Jason Jordan"
,,"You Are What You Eat: U.S. Food Cultures, Prof. Angie Kirby-Calder","You Are What You Eat: U.S. Food Cultures, Prof. Angie Kirby-Calder","American Inequality, Prof. Jason Jordan","Music and Meaning, Prof. Treavor Weston","Hogwarts, Houses, and Horcruxes: The Psychology of Harry Potter, Prof. Jill Cermele","Are We Alone? Contact, Communication and Consequences of Extraterrestrial Life, Prof. Alan Rosan"
,,"HIV/AIDS: Biology in a Global Context, Prof. Brianne Barker","HIV/AIDS: Biology in a Global Context, Prof. Brianne Barker",Magic Bullets: The role and Limitations of Science in Medicine: Adam Cassano,"Why We Buy: The Science of Shopping, Prof. Chris Andrews","Four Out of Five Drew Students Recommend this Seminar: Evaluating Survey Research, Prof. Sarah Abramowitz","Sacred Wisdom, Prof. Chris Taylor"
,,"Global Peacebuilding and Interfaith Leadership, Prof. Jonathan Golden","Are We Alone? Contact, Communication and Consequences of Extraterrestrial Life, Prof. Alan Rosan","You Are What You Eat: U.S. Food Cultures, Prof. Angie Kirby-Calder","Global Peacebuilding and Interfaith Leadership, Prof. Jonathan Golden","Music and Meaning, Prof. Treavor Weston","Sacred Wisdom, Prof. Chris Taylor"
,,"Reproduction in the 21st Century, Prof. Tina McKittrick","You Are What You Eat: U.S. Food Cultures, Prof. Angie Kirby-Calder","Why We Buy: The Science of Shopping, Prof. Chris Andrews","Reproduction in the 21st Century, Prof. Tina McKittrick","From Aphrodite to Lady Pink: Women and Art, Prof. Peggy Kuntz","Are We Alone? Contact, Communication and Consequences of Extraterrestrial Life, Prof. Alan Rosan"
,,"The American Politician, Prof. Phil Mundo","The American Politician, Prof. Phil Mundo","Hogwarts, Houses, and Horcruxes: The Psychology of Harry Potter, Prof. Jill Cermele","Four Out of Five Drew Students Recommend this Seminar: Evaluating Survey Research, Prof. Sarah Abramowitz","Are We Alone? Contact, Communication and Consequences of Extraterrestrial Life, Prof. Alan Rosan","Reproduction in the 21st Century, Prof. Tina McKittrick"
,,"Latinos/as in Hollywood, Prof. Raul Rosales","Latinos/as in Hollywood, Prof. Raul Rosales","Why We Buy: The Science of Shopping, Prof. Chris Andrews","Are We Alone? Contact, Communication and Consequences of Extraterrestrial Life, Prof. Alan Rosan","Sacred Wisdom, Prof. Chris Taylor","Film and the City, Prof. Muriel Placet-Kouassi"
