,"Hogwarts, Houses, and Horcruxes: The Psychology of Harry Potter, Prof. Jill Cermele","Reproduction in the 21st Century, Prof. Tina McKittrick","Magic Bullets: The Role and Limitations of Science in Medicine, Prof. Adam Cassano","Sacred Wisdom, Prof. Chris Taylor","Why We Buy: The Science of Shopping, Prof. Chris Andrews","Weapons of Math Destruction: Living with Algorithms, Prof. Minjoon Kouh","Shock: The Theatre of The Grand-guignol & Its Legacy, Prof. Andy Elliott","American Inequality, Prof. Jason Jordan","The Evolution of the Hero, Prof. John Muccigrosso","Film and the City, Prof. Muriel Placet-Kouassi","Global Peacebuilding and Interfaith Leadership, Prof. Jonathan Golden","Music and Meaning, Prof. Treavor Weston","HIV/AIDS: Biology in a Global Context, Prof. Brianne Barker","Four Out of Five Drew Students Recommend this Seminar: Evaluating Survey Research, Prof. Sarah Abramowitz","#Democracy & Digital Citizenship, Prof. Elias Ortega-Aponte","Are We Alone? Contact, Communication and Consequences of Extraterrestrial Life, Prof. Alan Rosan","From Aphrodite to Lady Pink: Women and Art, Prof. Peggy Kuntz","You Are What You Eat: U.S. Food Cultures, Prof. Angie Kirby-Calder","Latinos/as in Hollywood, Prof. Raul Rosales","Forty Studies That Changed Psychology, Prof. Patrick Dolan","The American Politician, Prof. Phil Mundo","Searching for Hamlet: On the Page, Stage, and Screen, Prof. Dan LaPenta","Strangers at the Shore: Politics of Immigration, Prof. Sangay Mishra"
,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,2,0,0,0,0,0,0,0,4,0,1,0,3,0,0,0,5,0,0,0
2,5,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,4,0
3,4,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,5,2,0,0,0,0
4,2,0,0,0,0,0,0,4,0,0,0,3,0,0,0,1,0,5,0,0,0,0,0
5,0,0,0,1,3,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0
6,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,5,0,4,0,0,0,0,0
7,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,0,0,0
8,4,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,5,0,0
9,0,0,0,2,4,0,0,0,0,1,0,0,0,0,0,3,0,0,5,0,0,0,0
10,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2,0,4,0,0,5,0,0
11,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3
12,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,5,0,4,0,0,0,2,0
13,0,0,0,0,1,0,0,0,0,4,0,2,0,0,0,0,5,3,0,0,0,0,0
14,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
15,0,0,0,0,5,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0
16,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,4,0,0,2,3,0,0
17,3,0,0,0,0,0,2,0,0,0,0,1,0,0,4,0,0,0,0,0,5,0,0
18,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0
19,0,0,0,0,2,0,0,4,0,0,0,0,3,5,0,1,0,0,0,0,0,0,0
20,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,2,0,4,0,0,1
21,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,1,2,0,0,0,0,3
22,0,0,4,0,5,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
