,"Hogwarts, Houses, and Horcruxes: The Psychology of Harry Potter, Prof. Jill Cermele","Reproduction in the 21st Century, Prof. Tina McKittrick","Magic Bullets: The Role and Limitations of Science in Medicine, Prof. Adam Cassano","Sacred Wisdom, Prof. Chris Taylor","Why We Buy: The Science of Shopping, Prof. Chris Andrews","Weapons of Math Destruction: Living with Algorithms, Prof. Minjoon Kouh","Shock: The Theatre of The Grand-guignol & Its Legacy, Prof. Andy Elliott","American Inequality, Prof. Jason Jordan","The Evolution of the Hero, Prof. John Muccigrosso","Film and the City, Prof. Muriel Placet-Kouassi","Global Peacebuilding and Interfaith Leadership, Prof. Jonathan Golden","Music and Meaning, Prof. Treavor Weston","HIV/AIDS: Biology in a Global Context, Prof. Brianne Barker","Four Out of Five Drew Students Recommend this Seminar: Evaluating Survey Research, Prof. Sarah Abramowitz","#Democracy & Digital Citizenship, Prof. Elias Ortega-Aponte","Are We Alone? Contact, Communication and Consequences of Extraterrestrial Life, Prof. Alan Rosan","From Aphrodite to Lady Pink: Women and Art, Prof. Peggy Kuntz","You Are What You Eat: U.S. Food Cultures, Prof. Angie Kirby-Calder","Latinos/as in Hollywood, Prof. Raul Rosales","Forty Studies That Changed Psychology, Prof. Patrick Dolan","The American Politician, Prof. Phil Mundo","Searching for Hamlet: On the Page, Stage, and Screen, Prof. Dan LaPenta","Strangers at the Shore: Politics of Immigration, Prof. Sangay Mishra"
,20, 6, 11, 10, 18, 7, 5, 16, 6, 12, 9, 19, 13, 13, 7, 24, 13, 19, 9, 19, 16, 10, 10
1,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,-30,1000,0,1000,-10,1000,1000,1000,-100,1000,1000,1000
2,-100,1000,1000,1000,1000,-5,1000,1000,1000,0,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,-30,1000
3,-30,1000,1000,1000,1000,1000,1000,0,1000,-10,1000,1000,1000,1000,1000,1000,1000,-100,-5,1000,1000,1000,1000
4,-5,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,-10,1000,1000,1000,0,1000,-100,1000,1000,1000,1000,1000
5,1000,1000,1000,0,-10,1000,1000,1000,1000,1000,1000,1000,-100,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000
6,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,-10,-5,1000,1000,1000,-100,1000,-30,1000,1000,1000,1000,1000
7,1000,-10,1000,1000,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,-5,-100,1000,1000,1000,1000,1000
8,-30,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,-5,1000,1000,1000,1000,-100,1000,1000
9,1000,1000,1000,-5,-30,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,-10,1000,1000,-100,1000,1000,1000,1000
