,"[[C10]  SUGAR:  LOOKING AT OUR FAVORITE MOLECULE IN FOOD, CULTURE AND THE MEDIA]",[[C11]  PERSONAL IDENTITY AND IMMORTALITY],[[C13]  AN EARTH RESTORED: INTERSECTIONAL ENVIRONMENTAL APPROACHES],[[C14]  STUDY SAYS:  CHOCOLATE MAKES YOU SMARTER!  SEPARATING SCIENCE FROM SENSATIONALISM IN CLAIMS ABOUT FOOD],[[C15]  NEW YORK VOICES:  LITERATURE OF NEW YORK],[[C19]  INTERNATIONAL HEALTH POLITICS],[[C17]  FROM AMELIE TO EMILY IN PARIS: MYTH AND REALITY IN THE CITY OF LIGHTS],[[J2]  ACTING THROUGH THE AGES: TRUTH IN PERFORMANCE],"[[J21]  LATINOS IN HOLLYWOOD: REPRESENTATIONS, STEREOTYPES, AND IDENTITIES]",[[C12]  SCIENTIFIC LITERACY: SEPARATING FACT FROM FICTION],[[C1] THE FORTY STUDIES THAT CHANGED PSYCHOLOGY],"[[C18]  FROM WEST AFRICA TO AMERICA:  FOOD, MUSIC, AND CULTURE OF THE PLANTATION]",[[J26]  HISTORY IN GRAPHIC LITERATURE:  ADVENTURES IN THE PICTORIAL PAST],[[J29]  WHY WE BUY: THE SCIENCE OF SHOPPING],"[[J27]  THE SIXTIES: CIVIL RIGHTS, THE VIETNAM WAR, AND ROCK 'N ROLL]","[[J28]  FOOD FOR THOUGHT, THOUGHT FOR FOOD: CHINESE FOODWAYS]",[[J25]  STRANGERS AT THE SHORE: IMMIGRANTS AND THE NATION],"[[J24]  OH, THE HORROR: SCARY MOVIES AND CULTURAL UNEASE]",[[J23]  MORE THAN A GAME: SPORTS STORIES AND WHY THEY MATTER],"[[J22]  MADMEN IN AUTHORITY, DEFUNCT ECONOMISTS, AND THEIR QUARRELS: AN EXPLORATION AND CRITIQUE OF IDEAS ABOUT CAPITALIST DEVELOPMENT]",[[J1]  THE SCENTS OF SMELL],"[[J20] IN GOOD TASTE:  FOOD, CULTURE, AND SUSTAINABILITY IN ITALY]"
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/27/2022 19:44:41,0,3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,2,0,0,0,0,5
4/28/2022 10:51:30,4,0,0,0,0,3,0,0,0,0,5,0,0,0,1,0,0,0,0,0,2,0
4/28/2022 15:07:49,2,0,1,0,0,0,0,0,0,0,4,0,3,0,0,0,0,5,0,0,0,0
4/30/2022 10:33:50,0,2,0,0,0,0,0,0,5,0,1,0,0,0,4,0,3,0,0,0,0,0
4/30/2022 20:59:38,0,0,0,0,0,0,0,0,0,2,0,0,1,0,5,0,0,3,0,0,0,4
5/1/2022 14:19:11,0,5,4,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0
6/16/2022 16:24:27,0,3,0,4,1,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0
5/1/2022 20:48:00,5,0,2,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0
5/2/2022 10:50:52,0,0,0,0,2,0,0,1,0,0,0,0,4,0,3,0,0,5,0,0,0,0
5/2/2022 11:48:53,0,1,5,3,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0
5/2/2022 16:35:16,0,4,0,0,2,0,0,3,0,0,0,0,0,0,1,0,0,5,0,0,0,0
5/2/2022 17:42:44,0,0,0,3,0,4,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0
5/2/2022 20:52:36,0,0,0,0,1,0,0,0,0,0,0,2,4,0,5,3,0,0,0,0,0,0
5/3/2022 17:03:05,0,3,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,5,0,0,0,0
5/3/2022 19:54:11,0,0,1,0,0,0,0,0,0,0,5,0,0,3,0,4,0,2,0,0,0,0
6/11/2022 23:20:49,0,3,0,0,0,0,0,0,0,0,2,0,0,1,5,0,0,4,0,0,0,0
5/4/2022 20:57:36,0,0,4,0,0,0,5,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3
5/5/2022 19:37:44,0,0,0,1,0,0,0,0,0,0,5,0,0,4,0,0,0,2,0,0,3,0
5/7/2022 17:04:20,0,2,0,0,0,1,0,0,0,0,0,0,0,5,4,0,0,0,0,3,0,0
5/8/2022 13:10:32,0,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,4,5,0,0,0
5/28/2022 14:41:57,0,3,2,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,1,5,0
5/9/2022 4:14:07,0,0,5,3,0,1,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0
5/9/2022 15:53:57,0,0,0,0,5,0,0,0,0,0,3,0,4,0,1,0,2,0,0,0,0,0
5/9/2022 16:22:23,0,2,0,0,5,0,0,0,0,0,4,0,0,0,1,3,0,0,0,0,0,0
5/9/2022 16:48:43,0,0,2,0,1,0,0,0,0,0,0,0,3,0,4,0,0,0,0,5,0,0
5/9/2022 17:09:13,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1
5/9/2022 17:42:39,0,5,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,4,0,0,0,3
5/9/2022 18:25:06,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,0
5/9/2022 18:28:23,0,3,0,4,0,0,0,0,0,0,5,0,0,1,0,0,0,2,0,0,0,0
5/9/2022 18:43:51,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,5,0,2,0
5/9/2022 21:30:15,0,4,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0
5/9/2022 21:43:13,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,4,0,0
5/9/2022 22:18:53,1,0,0,2,0,0,0,0,0,0,0,0,0,4,3,0,0,0,5,0,0,0
5/10/2022 9:38:04,0,5,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,1,0
5/10/2022 13:02:04,0,3,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,5,0,0,0,0
5/10/2022 13:35:14,0,0,0,0,5,1,0,0,4,0,0,0,3,0,0,0,0,0,0,0,2,0
5/10/2022 17:08:31,0,3,0,0,1,0,0,2,5,0,0,0,0,0,0,0,0,4,0,0,0,0
5/10/2022 18:11:48,2,0,0,0,0,5,0,0,0,3,4,0,0,0,0,0,1,0,0,0,0,0
5/10/2022 18:55:46,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,5,4,0,0,2
5/10/2022 19:04:26,0,5,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,4,0,3,0,0
5/10/2022 19:40:08,1,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,3,0,0
5/10/2022 19:43:58,0,0,0,0,0,0,0,0,1,0,4,0,0,2,5,0,3,0,0,0,0,0
5/10/2022 20:09:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,4,0,0,0
5/10/2022 20:09:46,1,2,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5
5/10/2022 21:06:29,0,0,3,0,0,0,0,1,0,0,0,0,5,0,4,0,0,2,0,0,0,0
5/10/2022 21:13:13,0,4,0,0,0,3,0,0,0,1,5,0,2,0,0,0,0,0,0,0,0,0
5/10/2022 22:05:12,0,2,0,0,0,0,0,4,1,0,0,0,0,0,3,0,0,5,0,0,0,0
5/11/2022 16:09:41,0,5,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,4,0,0,2,0
5/11/2022 19:40:20,0,0,0,2,0,0,0,0,5,0,4,0,0,0,0,0,0,1,0,0,0,3
5/11/2022 20:15:43,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,5,2,0,0
5/11/2022 21:16:11,2,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,3,0,0,0,1
5/11/2022 21:35:11,0,2,0,1,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,4
5/12/2022 8:53:19,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,5,0,1,0,0,0,4
5/12/2022 9:30:36,0,1,4,0,0,0,0,0,0,0,5,0,0,2,0,0,3,0,0,0,0,0
5/12/2022 11:58:02,0,0,0,0,5,0,3,0,0,0,0,0,0,2,0,0,0,0,4,1,0,0
5/12/2022 20:22:59,0,2,0,4,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0
