Timestamp,"DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C10]  SUGAR:  LOOKING AT OUR FAVORITE MOLECULE IN FOOD, CULTURE AND THE MEDIA]",DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C11]  PERSONAL IDENTITY AND IMMORTALITY],DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C13]  AN EARTH RESTORED: INTERSECTIONAL ENVIRONMENTAL APPROACHES],DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C14]  STUDY SAYS:  CHOCOLATE MAKES YOU SMARTER!  SEPARATING SCIENCE FROM SENSATIONALISM IN CLAIMS ABOUT FOOD],DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C15]  NEW YORK VOICES:  LITERATURE OF NEW YORK],DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C19]  INTERNATIONAL HEALTH POLITICS],DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C17]  FROM AMELIE TO EMILY IN PARIS: MYTH AND REALITY IN THE CITY OF LIGHTS],DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J2]  ACTING THROUGH THE AGES: TRUTH IN PERFORMANCE],"DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J21]  LATINOS IN HOLLYWOOD: REPRESENTATIONS, STEREOTYPES, AND IDENTITIES]",DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C12]  SCIENTIFIC LITERACY: SEPARATING FACT FROM FICTION],DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C1] THE FORTY STUDIES THAT CHANGED PSYCHOLOGY],"DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C18]  FROM WEST AFRICA TO AMERICA:  FOOD, MUSIC, AND CULTURE OF THE PLANTATION]",DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J26]  HISTORY IN GRAPHIC LITERATURE:  ADVENTURES IN THE PICTORIAL PAST],DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J29]  WHY WE BUY: THE SCIENCE OF SHOPPING],"DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J27]  THE SIXTIES: CIVIL RIGHTS, THE VIETNAM WAR, AND ROCK 'N ROLL]","DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J28]  FOOD FOR THOUGHT, THOUGHT FOR FOOD: CHINESE FOODWAYS]",DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J25]  STRANGERS AT THE SHORE: IMMIGRANTS AND THE NATION],"DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J24]  OH, THE HORROR: SCARY MOVIES AND CULTURAL UNEASE]",DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J23]  MORE THAN A GAME: SPORTS STORIES AND WHY THEY MATTER],"DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J22]  MADMEN IN AUTHORITY, DEFUNCT ECONOMISTS, AND THEIR QUARRELS: AN EXPLORATION AND CRITIQUE OF IDEAS ABOUT CAPITALIST DEVELOPMENT]",DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J1]  THE SCENTS OF SMELL],"DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J20] IN GOOD TASTE:  FOOD, CULTURE, AND SUSTAINABILITY IN ITALY]",Are you finished?
4/27/2022 19:44:41,,3rd Choice DSEM,,,,,,,,,,2nd Choice DSEM,,5th Choice DSEM,,,4th Choice DSEM,,,,,1st Choice DSEM,I'm completely finished!
4/28/2022 10:51:30,2nd Choice DSEM,,,,,3rd Choice DSEM,,,,,1st Choice DSEM,,,,5th Choice DSEM,,,,,,4th Choice DSEM,,I'm completely finished!
4/28/2022 15:07:49,4th Choice DSEM,,5th Choice DSEM,,,,,,,,2nd Choice DSEM,,3rd Choice DSEM,,,,,1st Choice DSEM,,,,,I'm completely finished!
4/30/2022 10:33:50,,4th Choice DSEM,,,,,,,1st Choice DSEM,,5th Choice DSEM,,,,2nd Choice DSEM,,3rd Choice DSEM,,,,,,I'm completely finished!
4/30/2022 20:59:38,,,,,,,,,,4th Choice DSEM,,,5th Choice DSEM,,1st Choice DSEM,,,3rd Choice DSEM,,,,2nd Choice DSEM,I'm completely finished!
5/1/2022 14:19:11,,1st Choice DSEM,2nd Choice DSEM,,,,,,,,3rd Choice DSEM,4th Choice DSEM,,,,,,,,5th Choice DSEM,,,I'm completely finished!
6/16/2022 16:24:27,,3rd Choice DSEM,,2nd Choice DSEM,5th Choice DSEM,,,,,,1st Choice DSEM,,,,,,,4th Choice DSEM,,,,,I'm completely finished!
5/1/2022 20:48:00,1st Choice DSEM,,4th Choice DSEM,2nd Choice DSEM,,,,,,,,3rd Choice DSEM,,,,,,,,,5th Choice DSEM,,I'm completely finished!
5/2/2022 10:50:52,,,,,4th Choice DSEM,,,5th Choice DSEM,,,,,2nd Choice DSEM,,3rd Choice DSEM,,,1st Choice DSEM,,,,,I'm completely finished!
5/2/2022 11:48:53,,5th Choice DSEM,1st Choice DSEM,3rd Choice DSEM,,,,,,,,,,4th Choice DSEM,,,,2nd Choice DSEM,,,,,I'm completely finished!
5/2/2022 16:35:16,,2nd Choice DSEM,,,4th Choice DSEM,,,3rd Choice DSEM,,,,,,,5th Choice DSEM,,,1st Choice DSEM,,,,,I'm completely finished!
5/2/2022 17:42:44,,,,3rd Choice DSEM,,2nd Choice DSEM,,,,,1st Choice DSEM,,,5th Choice DSEM,,,,,4th Choice DSEM,,,,I'm completely finished!
5/2/2022 20:52:36,,,,,5th Choice DSEM,,,,,,,4th Choice DSEM,2nd Choice DSEM,,1st Choice DSEM,3rd Choice DSEM,,,,,,,I'm completely finished!
5/3/2022 17:03:05,,3rd Choice DSEM,,,2nd Choice DSEM,,,5th Choice DSEM,,,,,4th Choice DSEM,,,,,1st Choice DSEM,,,,,I'm completely finished!
5/3/2022 19:54:11,,,5th Choice DSEM,,,,,,,,1st Choice DSEM,,,3rd Choice DSEM,,2nd Choice DSEM,,4th Choice DSEM,,,,,I'm completely finished!
6/11/2022 23:20:49,,3rd Choice DSEM,,,,,,,,,4th Choice DSEM,,,5th Choice DSEM,1st Choice DSEM,,,2nd Choice DSEM,,,,,I'm completely finished!
5/4/2022 20:57:36,,,2nd Choice DSEM,,,,1st Choice DSEM,,,,,4th Choice DSEM,,5th Choice DSEM,,,,,,,,3rd Choice DSEM,I'm completely finished!
5/5/2022 19:37:44,,,,5th Choice DSEM,,,,,,,1st Choice DSEM,,,2nd Choice DSEM,,,,4th Choice DSEM,,,3rd Choice DSEM,,I'm completely finished!
