, C10, C11, C13, C14, C15, C19, C17, J2, J21, C12, C1, C18, J26, J29, J27, J28, J25, J24, J23, J22, J1, J20
,  15,  20,  18,  20,  20,  17,  12, 13,  14,   7, 17,   8,  19,  14,  20,   9,   8,  20,   6,  13, 19,  13
,   -1000,   50,   -1000,   -1000,   -1000,   -1000,   -1000,  -1000,   -1000,   -1000,  -1000,   0,   -1000,   1000,   -1000,   -1000,   100,   -1000,   -1000,   -1000,  -1000,   1
,   0,   -1000,   -1000,   -1000,   -1000,   50,   -1000,  -1000,   -1000,   -1000,  -50,   -1000,   -1000,   -1000,   1000,   -1000,   -1000,   -1000,   -1000,   -1000,  100,   -1000
,   100,   -1000,   1000,   -1000,   -1000,   -1000,   -1000,  -1000,   -1000,   -1000,  0,   -1000,   50,   -1000,   -1000,   -1000,   -1000,   -50,   -1000,   -1000,  -1000,   -1000
,   -1000,   100,   -1000,   -1000,   -1000,   -1000,   -1000,  -1000,   -50,   -1000,  1000,   -1000,   -1000,   -1000,   0,   -1000,   50,   -1000,   -1000,   -1000,  -1000,   -1000
,   -1000,   -1000,   -1000,   -1000,   -1000,   -1000,   -1000,  -1000,   -1000,   100,  -1000,   -1000,   1000,   -1000,   -50,   -1000,   -1000,   50,   -1000,   -1000,  -1000,   2
,   -1000,   -50,   0,   -1000,   -1000,   -1000,   -1000,  -1000,   -1000,   -1000,  50,   100,   -1000,   -1000,   -1000,   -1000,   -1000,   -1000,   -1000,   1000,  -1000,   -1000
,   -1000,   50,   -1000,   0,   1000,   -1000,   -1000,  -1000,   -1000,   -1000,  -50,   -1000,   -1000,   -1000,   -1000,   -1000,   -1000,   100,   -1000,   -1000,  -1000,   -1000
,   -50,   -1000,   100,   0,   -1000,   -1000,   -1000,  -1000,   -1000,   -1000,  -1000,   50,   -1000,   -1000,   -1000,   -1000,   -1000,   -1000,   -1000,   -1000,  1000,   -1000
,   -1000,   -1000,   -1000,   -1000,   100,   -1000,   -1000,  1000,   -1000,   -1000,  -1000,   -1000,   0,   -1000,   50,   -1000,   -1000,   -50,   -1000,   -1000,  -1000,   -1000
,   -1000,   1000,   -50,   50,   -1000,   -1000,   -1000,  -1000,   -1000,   -1000,  -1000,   -1000,   -1000,   100,   -1000,   -1000,   -1000,   0,   -1000,   -1000,  -1000,   -1000
,   -1000,   0,   -1000,   -1000,   100,   -1000,   -1000,  50,   -1000,   -1000,  -1000,   -1000,   -1000,   -1000,   1000,   -1000,   -1000,   -50,   -1000,   -1000,  -1000,   -1000
,   -1000,   -1000,   -1000,   50,   -1000,   0,   -1000,  -1000,   -1000,   -1000,  -50,   -1000,   -1000,   1000,   -1000,   -1000,   -1000,   -1000,   100,   -1000,  -1000,   -1000
,   -1000,   -1000,   -1000,   -1000,   1000,   -1000,   -1000,  -1000,   -1000,   -1000,  -1000,   100,   0,   -1000,   -50,   50,   -1000,   -1000,   -1000,   -1000,  -1000,   -1000
,   -1000,   50,   -1000,   -1000,   0,   -1000,   -1000,  1000,   -1000,   -1000,  -1000,   -1000,   100,   -1000,   -1000,   -1000,   -1000,   -50,   -1000,   -1000,  -1000,   -1000
,   -1000,   -1000,   1000,   -1000,   -1000,   -1000,   -1000,  -1000,   -1000,   -1000,  -50,   -1000,   -1000,   50,   -1000,   0,   -1000,   100,   -1000,   -1000,  -1000,   -1000
,   -1000,   50,   -1000,   -1000,   -1000,   -1000,   -1000,  -1000,   -1000,   -1000,  100,   -1000,   -1000,   1000,   -50,   -1000,   -1000,   0,   -1000,   -1000,  -1000,   -1000
,   -1000,   -1000,   0,   -1000,   -1000,   -1000,   -50,  -1000,   -1000,   -1000,  -1000,   100,   -1000,   1000,   -1000,   -1000,   -1000,   -1000,   -1000,   -1000,  -1000,   3
,   -1000,   -1000,   -1000,   1000,   -1000,   -1000,   -1000,  -1000,   -1000,   -1000,  -50,   -1000,   -1000,   0,   -1000,   -1000,   -1000,   100,   -1000,   -1000,  50,   -1000
,   -1000,   100,   -1000,   -1000,   -1000,   1000,   -1000,  -1000,   -1000,   -1000,  -1000,   -1000,   -1000,   -50,   0,   -1000,   -1000,   -1000,   -1000,   50,  -1000,   -1000
,   -1000,   -1000,   1000,   50,   -1000,   -1000,   -1000,  -1000,   -1000,   -1000,  100,   -1000,   -1000,   -1000,   -1000,   -1000,   -1000,   0,   -50,   -1000,  -1000,   -1000
,   -1000,   50,   100,   -1000,   -1000,   -1000,   -1000,  -1000,   -1000,   -1000,  -1000,   0,   -1000,   -1000,   0,   -1000,   -1000,   -1000,   -1000,   1000,  -50,   -1000
,   -1000,   -1000,   -50,   50,   -1000,   1000,   -1000,  -1000,   -1000,   -1000,  0,   -1000,   -1000,   100,   -1000,   -1000,   -1000,   -1000,   -1000,   -1000,  -1000,   -1000
,   -1000,   -1000,   -1000,   -1000,   -50,   -1000,   -1000,  -1000,   -1000,   -1000,  50,   -1000,   0,   -1000,   1000,   -1000,   100,   -1000,   -1000,   -1000,  -1000,   -1000
,   -1000,   100,   -1000,   -1000,   -50,   -1000,   -1000,  -1000,   -1000,   -1000,  0,   -1000,   -1000,   -1000,   1000,   50,   -1000,   -1000,   -1000,   -1000,  -1000,   -1000
,   -1000,   -1000,   100,   -1000,   1000,   -1000,   -1000,  -1000,   -1000,   -1000,  -1000,   -1000,   50,   -1000,   0,   -1000,   -1000,   -1000,   -1000,   -50,  -1000,   -1000
,   -1000,   50,   -1000,   -1000,   -50,   -1000,   -1000,  -1000,   -1000,   -1000,  -1000,   -1000,   -1000,   -1000,   -1000,   -1000,   -1000,   100,   -1000,   -1000,  0,   5
,   -1000,   -50,   -1000,   -1000,   -1000,   -1000,   -1000,  -1000,   -1000,   -1000,  100,   -1000,   -1000,   1000,   -1000,   -1000,   -1000,   0,   -1000,   -1000,  -1000,   3
,   1000,   -1000,   100,   -1000,   -1000,   -1000,   -1000,  -1000,   -1000,   -1000,  -1000,   -1000,   -1000,   -1000,   -1000,   -1000,   -1000,   0,   -50,   -1000,  50,   -1000
,   -1000,   50,   -1000,   0,   -1000,   -1000,   -1000,  -1000,   -1000,   -1000,  -50,   -1000,   -1000,   1000,   -1000,   -1000,   -1000,   100,   -1000,   -1000,  -1000,   -1000
,   -1000,   1000,   -1000,   -1000,   -1000,   -1000,   -1000,  -1000,   -1000,   -1000,  -1000,   -1000,   -1000,   0,   -1000,   -1000,   -1000,   50,   -50,   -1000,  100,   -1000
,   -1000,   0,   50,   -1000,   -1000,   100,   -1000,  -1000,   -1000,   -1000,  1000,   -1000,   -1000,   -1000,   -1000,   -1000,   -1000,   -1000,   -1000,   -50,  -1000,   -1000
,   -1000,   -50,   -1000,   -1000,   -1000,   -1000,   -1000,  -1000,   -1000,   -1000,  -1000,   -1000,   -1000,   100,   -1000,   -1000,   -1000,   50,   1000,   0,  -1000,   -1000
,   1000,   -1000,   -1000,   100,   -1000,   -1000,   -1000,  -1000,   -1000,   -1000,  -1000,   -1000,   -1000,   0,   50,   -1000,   -1000,   -1000,   -50,   -1000,  -1000,   -1000
,   -1000,   -50,   -1000,   100,   -1000,   -1000,   -1000,  -1000,   -1000,   -1000,  -1000,   -1000,   -1000,   50,   -1000,   -1000,   -1000,   -1000,   -1000,   0,  1000,   -1000
,   -1000,   50,   -1000,   -1000,   -1000,   -1000,   100,  1000,   -1000,   -1000,  0,   -1000,   -1000,   -1000,   -1000,   -1000,   -1000,   -50,   -1000,   -1000,  -1000,   -1000
,   -1000,   -1000,   -1000,   -1000,   -50,   1000,   -1000,  -1000,   0,   -1000,  -1000,   -1000,   50,   -1000,   -1000,   -1000,   -1000,   -1000,   -1000,   -1000,  100,   -1000
,   -1000,   50,   -1000,   -1000,   1000,   -1000,   -1000,  100,   -50,   -1000,  -1000,   -1000,   -1000,   -1000,   -1000,   -1000,   -1000,   0,   -1000,   -1000,  -1000,   -1000
,   100,   -1000,   -1000,   -1000,   -1000,   -50,   -1000,  -1000,   -1000,   50,  0,   -1000,   -1000,   -1000,   -1000,   -1000,   1000,   -1000,   -1000,   -1000,  -1000,   -1000
,   -1000,   -1000,   -1000,   -1000,   -1000,   -1000,   -1000,  50,   -1000,   -1000,  -1000,   -1000,   -1000,   1000,   -1000,   -1000,   -1000,   -50,   0,   -1000,  -1000,   4
,   -1000,   -50,   -1000,   -1000,   -1000,   -1000,   -1000,  -1000,   -1000,   -1000,  1000,   -1000,   -1000,   100,   -1000,   -1000,   -1000,   0,   -1000,   50,  -1000,   -1000
,   1000,   -1000,   -1000,   100,   -1000,   -1000,   -1000,  -1000,   -1000,   -1000,  -1000,   -1000,   0,   -1000,   -1000,   -1000,   -1000,   -1000,   -50,   50,  -1000,   -1000
,   -1000,   -1000,   -1000,   -1000,   -1000,   -1000,   -1000,  -1000,   1000,   -1000,  0,   -1000,   -1000,   100,   -50,   -1000,   50,   -1000,   -1000,   -1000,  -1000,   -1000
,   -1000,   -1000,   -1000,   -1000,   -1000,   -1000,   -1000,  -1000,   -1000,   -1000,  -1000,   -1000,   -1000,   -1000,   50,   -1000,   -1000,   -50,   0,   -1000,  -1000,   -1000
,   1000,   100,   -1000,   50,   -1000,   -1000,   -1000,  -1000,   -1000,   -1000,  0,   -1000,   -1000,   -1000,   -1000,   -1000,   -1000,   -1000,   -1000,   -1000,  -1000,   1
,   -1000,   -1000,   50,   -1000,   -1000,   -1000,   -1000,  1000,   -1000,   -1000,  -1000,   -1000,   -50,   -1000,   0,   -1000,   -1000,   100,   -1000,   -1000,  -1000,   -1000
,   -1000,   0,   -1000,   -1000,   -1000,   50,   -1000,  -1000,   -1000,   1000,  -50,   -1000,   100,   -1000,   -1000,   -1000,   -1000,   -1000,   -1000,   -1000,  -1000,   -1000
,   -1000,   100,   -1000,   -1000,   -1000,   -1000,   -1000,  0,   1000,   -1000,  -1000,   -1000,   -1000,   -1000,   50,   -1000,   -1000,   -50,   -1000,   -1000,  -1000,   -1000
,   -1000,   -50,   -1000,   -1000,   -1000,   -1000,   -1000,  -1000,   -1000,   -1000,  -1000,   -1000,   1000,   -1000,   50,   -1000,   -1000,   0,   -1000,   -1000,  100,   -1000
