Timeamp            ,C10 ,C11 ,C13 ,C14 ,C15 ,C19 ,C17 ,J2 ,J21 ,C12 ,C1 ,C18 ,J26 ,J29 ,J27 ,J28 ,J25 ,J24 ,J23 ,J22 ,J1 ,J20
4/27/2022 19:44:41 ,    ,  3 ,    ,    ,    ,    ,    ,   ,    ,    ,   ,  2 ,    ,  5 ,    ,    ,  4 ,    ,    ,    ,   ,  1
4/28/2022 10:51:30 ,  2 ,    ,    ,    ,    ,  3 ,    ,   ,    ,    , 1 ,    ,    ,    ,  5 ,    ,    ,    ,    ,    , 4 ,   
4/28/2022 15:07:49 ,  4 ,    ,  5 ,    ,    ,    ,    ,   ,    ,    , 2 ,    ,  3 ,    ,    ,    ,    ,  1 ,    ,    ,   ,   
4/30/2022 10:33:50 ,    ,  4 ,    ,    ,    ,    ,    ,   ,  1 ,    , 5 ,    ,    ,    ,  2 ,    ,  3 ,    ,    ,    ,   ,   
4/30/2022 20:59:38 ,    ,    ,    ,    ,    ,    ,    ,   ,    ,  4 ,   ,    ,  5 ,    ,  1 ,    ,    ,  3 ,    ,    ,   ,  2
5/1/2022 14:19:11  ,    ,  1 ,  2 ,    ,    ,    ,    ,   ,    ,    , 3 ,  4 ,    ,    ,    ,    ,    ,    ,    ,  5 ,   ,   
6/16/2022 16:24:27 ,    ,  3 ,    ,  2 ,  5 ,    ,    ,   ,    ,    , 1 ,    ,    ,    ,    ,    ,    ,  4 ,    ,    ,   ,   
5/1/2022 20:48:00  ,  1 ,    ,  4 ,  2 ,    ,    ,    ,   ,    ,    ,   ,  3 ,    ,    ,    ,    ,    ,    ,    ,    , 5 ,   
5/2/2022 10:50:52  ,    ,    ,    ,    ,  4 ,    ,    , 5 ,    ,    ,   ,    ,  2 ,    ,  3 ,    ,    ,  1 ,    ,    ,   ,   
5/2/2022 11:48:53  ,    ,  5 ,  1 ,  3 ,    ,    ,    ,   ,    ,    ,   ,    ,    ,  4 ,    ,    ,    ,  2 ,    ,    ,   ,   
