                    , A_C10, A_C11, A_C13, A_C14, A_C15, A_C19, A_C17, A_J2, A_J21, A_C12, A_C1, A_C18, A_J26, A_J29, A_J27, A_J28, A_J25, A_J24, A_J23, A_J22, A_J1, B_J20, B_C10, B_C11, B_C13, B_C14, B_C15, B_C19, B_C17, B_J2, B_J21, B_C12, B_C1, B_C18, B_J26, B_J29, B_J27, B_J28, B_J25, B_J24, B_J23, B_J22, B_J1, B_J20
                    ,    20,    20,    20,    20,    20,    20,    20,   20,    20,    20,   20,    20,    20,    20,    20,    20,    20,    20,    20,    20,   20,    20,    20,    20,    20,    20,    20,    20,    20,   20,    20,    20,   20,    20,    20,    20,    20,    20,    20,    20,    20,    20,   20,    20
A_4/27/2022 19:44:41,     0,     3,     0,     0,     0,     0,     0,    0,     0,     0,    0,     2,     0,     5,     0,     0,     4,     0,     0,     0,    0,     1,     0,     3,     0,     0,     0,     0,     0,    0,     0,     0,    0,     2,     0,     5,     0,     0,     4,     0,     0,     0,    0,     1
A_4/28/2022 10:51:30,     2,     0,     0,     0,     0,     3,     0,    0,     0,     0,    1,     0,     0,     0,     5,     0,     0,     0,     0,     0,    4,     0,     2,     0,     0,     0,     0,     3,     0,    0,     0,     0,    1,     0,     0,     0,     5,     0,     0,     0,     0,     0,    4,     0
A_4/28/2022 15:07:49,     4,     0,     5,     0,     0,     0,     0,    0,     0,     0,    2,     0,     3,     0,     0,     0,     0,     1,     0,     0,    0,     0,     4,     0,     5,     0,     0,     0,     0,    0,     0,     0,    2,     0,     3,     0,     0,     0,     0,     1,     0,     0,    0,     0
A_4/30/2022 10:33:50,     0,     4,     0,     0,     0,     0,     0,    0,     1,     0,    5,     0,     0,     0,     2,     0,     3,     0,     0,     0,    0,     0,     0,     4,     0,     0,     0,     0,     0,    0,     1,     0,    5,     0,     0,     0,     2,     0,     3,     0,     0,     0,    0,     0
A_4/30/2022 20:59:38,     0,     0,     0,     0,     0,     0,     0,    0,     0,     4,    0,     0,     5,     0,     1,     0,     0,     3,     0,     0,    0,     2,     0,     0,     0,     0,     0,     0,     0,    0,     0,     4,    0,     0,     5,     0,     1,     0,     0,     3,     0,     0,    0,     2
A_5/1/2022 14:19:11 ,     0,     1,     2,     0,     0,     0,     0,    0,     0,     0,    3,     4,     0,     0,     0,     0,     0,     0,     0,     5,    0,     0,     0,     1,     2,     0,     0,     0,     0,    0,     0,     0,    3,     4,     0,     0,     0,     0,     0,     0,     0,     5,    0,     0
A_6/16/2022 16:24:27,     0,     3,     0,     2,     5,     0,     0,    0,     0,     0,    1,     0,     0,     0,     0,     0,     0,     4,     0,     0,    0,     0,     0,     3,     0,     2,     5,     0,     0,    0,     0,     0,    1,     0,     0,     0,     0,     0,     0,     4,     0,     0,    0,     0
A_5/1/2022 20:48:00 ,     1,     0,     4,     2,     0,     0,     0,    0,     0,     0,    0,     3,     0,     0,     0,     0,     0,     0,     0,     0,    5,     0,     1,     0,     4,     2,     0,     0,     0,    0,     0,     0,    0,     3,     0,     0,     0,     0,     0,     0,     0,     0,    5,     0
A_5/2/2022 10:50:52 ,     0,     0,     0,     0,     4,     0,     0,    5,     0,     0,    0,     0,     2,     0,     3,     0,     0,     1,     0,     0,    0,     0,     0,     0,     0,     0,     4,     0,     0,    5,     0,     0,    0,     0,     2,     0,     3,     0,     0,     1,     0,     0,    0,     0
