",",C10,C11,C13,C14,C15,C19,C17,J2,J21,C12,C1,C18,J26,J29,J27,J28,J25,J24,J23,J22,J1,J20
",",14,22,16,18,19,14,11,12,11,6,16,7,19,13,24,9,8,25,4,10,18,12
4/27/2022 19:44:41,1000,-25,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,-100,1000,1000,-75,1000,1000,1000,1000,50
4/28/2022 10:51:30,0,1000,1000,1000,1000,-25,1000,1000,1000,1000,50,1000,1000,1000,-100,1000,1000,1000,1000,1000,-75,1000
4/28/2022 15:07:49,-75,1000,-100,1000,1000,1000,1000,1000,1000,1000,0,1000,-25,1000,1000,1000,1000,50,1000,1000,1000,1000
4/30/2022 10:33:50,1000,-75,1000,1000,1000,1000,1000,1000,50,1000,-100,1000,1000,1000,0,1000,-25,1000,1000,1000,1000,1000
4/30/2022 20:59:38,1000,1000,1000,1000,1000,1000,1000,1000,1000,-75,1000,1000,-100,1000,50,1000,1000,-25,1000,1000,1000,0
5/1/2022 14:19:11 ,1000,50,0,1000,1000,1000,1000,1000,1000,1000,-25,-75,1000,1000,1000,1000,1000,1000,1000,-100,1000,1000
6/16/2022 16:24:27,1000,-25,1000,0,-100,1000,1000,1000,1000,1000,50,1000,1000,1000,1000,1000,1000,-75,1000,1000,1000,1000
5/1/2022 20:48:00 ,50,1000,-75,0,1000,1000,1000,1000,1000,1000,1000,-25,1000,1000,1000,1000,1000,1000,1000,1000,-100,1000
5/2/2022 10:50:52 ,1000,1000,1000,1000,-75,1000,1000,-100,1000,1000,1000,1000,0,1000,-25,1000,1000,50,1000,1000,1000,1000
5/2/2022 11:48:53 ,1000,-100,50,-25,1000,1000,1000,1000,1000,1000,1000,1000,1000,-75,1000,1000,1000,0,1000,1000,1000,1000
5/2/2022 16:35:16 ,1000,0,1000,1000,-75,1000,1000,-25,1000,1000,1000,1000,1000,1000,-100,1000,1000,50,1000,1000,1000,1000
5/2/2022 17:42:44 ,1000,1000,1000,-25,1000,0,1000,1000,1000,1000,50,1000,1000,-100,1000,1000,1000,1000,-75,1000,1000,1000
5/2/2022 20:52:36 ,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,-75,0,1000,50,-25,1000,1000,1000,1000,1000,1000
5/3/2022 17:03:05 ,1000,-25,1000,1000,0,1000,1000,-100,1000,1000,1000,1000,-75,1000,1000,1000,1000,50,1000,1000,1000,1000
5/3/2022 19:54:11 ,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,50,1000,1000,-25,1000,0,1000,-75,1000,1000,1000,1000
6/11/2022 23:20:49,1000,-25,1000,1000,1000,1000,1000,1000,1000,1000,-75,1000,1000,-100,50,1000,1000,0,1000,1000,1000,1000
5/4/2022 20:57:36 ,1000,1000,0,1000,1000,1000,50,1000,1000,1000,1000,-75,1000,-100,1000,1000,1000,1000,1000,1000,1000,-25
5/5/2022 19:37:44 ,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,50,1000,1000,0,1000,1000,1000,-75,1000,1000,-25,1000
5/7/2022 17:04:20 ,1000,-75,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,50,0,1000,1000,1000,1000,-25,1000,1000
5/8/2022 13:10:32 ,1000,1000,-100,-25,1000,1000,1000,1000,1000,1000,-75,1000,1000,1000,1000,1000,1000,0,50,1000,1000,1000
5/28/2022 14:41:57,1000,-25,-75,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,0,1000,1000,1000,1000,-100,50,1000
5/9/2022 4:14:07  ,1000,1000,50,-25,1000,-100,1000,1000,1000,1000,0,1000,1000,-75,1000,1000,1000,1000,1000,1000,1000,1000
5/9/2022 15:53:57 ,1000,1000,1000,1000,50,1000,1000,1000,1000,1000,-25,1000,0,1000,-100,1000,-75,1000,1000,1000,1000,1000
5/9/2022 16:22:23 ,1000,-75,1000,1000,50,1000,1000,1000,1000,1000,0,1000,1000,1000,-100,-25,1000,1000,1000,1000,1000,1000
5/9/2022 16:48:43 ,1000,1000,-75,1000,-100,1000,1000,1000,1000,1000,1000,1000,-25,1000,0,1000,1000,1000,1000,50,1000,1000
5/9/2022 17:09:13 ,1000,-25,1000,1000,50,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-75,1000,1000,0,-100
5/9/2022 17:42:39 ,1000,50,1000,1000,1000,1000,1000,1000,1000,1000,-75,1000,1000,-100,1000,1000,1000,0,1000,1000,1000,-25
5/9/2022 18:25:06 ,-100,1000,-75,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,50,1000,-25,1000
5/9/2022 18:28:23 ,1000,-25,1000,0,1000,1000,1000,1000,1000,1000,50,1000,1000,-100,1000,1000,1000,-75,1000,1000,1000,1000
5/9/2022 18:43:51 ,1000,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,-25,50,1000,-75,1000
5/9/2022 21:30:15 ,1000,0,-25,1000,1000,-75,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,1000,50,1000,1000
5/9/2022 21:43:13 ,1000,50,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-75,1000,1000,1000,-25,-100,0,1000,1000
5/9/2022 22:18:53 ,-100,1000,1000,-75,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,-25,1000,1000,1000,50,1000,1000,1000
5/10/2022 9:38:04 ,1000,50,1000,-75,1000,1000,1000,1000,1000,1000,1000,1000,1000,-25,1000,1000,1000,1000,1000,0,-100,1000
5/10/2022 13:02:04,1000,-25,1000,1000,1000,1000,-75,-100,1000,1000,0,1000,1000,1000,1000,1000,1000,50,1000,1000,1000,1000
5/10/2022 13:35:14,1000,1000,1000,1000,50,-100,1000,1000,0,1000,1000,1000,-25,1000,1000,1000,1000,1000,1000,1000,-75,1000
5/10/2022 17:08:31,1000,-25,1000,1000,-100,1000,1000,-75,50,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000
5/10/2022 18:11:48,-75,1000,1000,1000,1000,50,1000,1000,1000,-25,0,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000
5/10/2022 18:55:46,1000,1000,1000,1000,1000,1000,1000,-25,1000,1000,1000,1000,1000,-100,1000,1000,1000,50,0,1000,1000,-75
5/10/2022 19:04:26,1000,50,1000,1000,1000,1000,1000,1000,1000,1000,-100,1000,1000,-75,1000,1000,1000,0,1000,-25,1000,1000
5/10/2022 19:40:08,-100,1000,1000,-75,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,50,-25,1000,1000
5/10/2022 19:43:58,1000,1000,1000,1000,1000,1000,1000,1000,-100,1000,0,1000,1000,-75,50,1000,-25,1000,1000,1000,1000,1000
5/10/2022 20:09:37,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-25,1000,1000,50,0,1000,1000,1000
5/10/2022 20:09:46,-100,-75,1000,-25,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,50
5/10/2022 21:06:29,1000,1000,-25,1000,1000,1000,1000,-100,1000,1000,1000,1000,50,1000,0,1000,1000,-75,1000,1000,1000,1000
5/10/2022 21:13:13,1000,0,1000,1000,1000,-25,1000,1000,1000,-100,50,1000,-75,1000,1000,1000,1000,1000,1000,1000,1000,1000
5/10/2022 22:05:12,1000,-75,1000,1000,1000,1000,1000,0,-100,1000,1000,1000,1000,1000,-25,1000,1000,50,1000,1000,1000,1000
5/11/2022 16:09:41,1000,50,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-100,1000,-25,1000,1000,0,1000,1000,-75,1000
5/11/2022 19:40:20,1000,1000,1000,-75,1000,1000,1000,1000,50,1000,0,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,-25
5/11/2022 20:15:43,1000,-25,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,-100,1000,50,-75,1000,1000
5/11/2022 21:16:11,-75,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,50,1000,1000,1000,-25,1000,1000,1000,-100
